area_type,availability,location,size,society,total_sqft,Hospitals,Public Connectivity,price
Super built-up  Area,18-May,Mico Layout,3 sq mt,,1250,2,2,44
Super built-up  Area,Ready To Move,Green Glen Layout,4 sq mt,,3150,4,3,218
Plot  Area,Ready To Move,B Y Raveshwara Nagar,4 sq km,,1200,2,1,140
Carpet  Area,18-Dec,Bhoganhalli,3 sq mt,Rosha I,1234.6,3,1,104
Super built-up  Area,21-Jun,Vijayanagar,1 sq mt,Saahaat,492,1,1,40
Built-up  Area,Ready To Move,Banashankari,2 sq mt,Sriseva,600,1,0,27
Super built-up  Area,Ready To Move,Kalena Agrahara,3 sq mt,Mykyayi,1902,3,2,89
Plot  Area,18-May,Kothnur Narayanapura,6 sq km,,1200,6,,125
Super built-up  Area,18-Nov,Govindpura,3 sq mt,,1639,3,1,77.89
Super built-up  Area,Ready To Move,Kasavanhalli,2 sq mt,Ocrda M,1214,2,3,67
Built-up  Area,Ready To Move,Kadabagere,2 sq mt,Jahipa ,565,2,1,15
Plot  Area,Ready To Move,Basaveshwara Nagar,5 sq km,,2520,4,1,378
Super built-up  Area,18-Dec,Harlur,2 sq mt,BrriaIm,1386,2,2,85
Super built-up  Area,Ready To Move,Bannerghatta Road,3 sq mt,Guranya,1535,3,3,60
Super built-up  Area,Ready To Move,Marathahalli,3 sq mt,RookaJh,1720,3,,175
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 sq mt,SrncyRe,1370,2,2,54.79
Built-up  Area,18-Mar,Bannerghatta Road,3 sq mt,SNity S,1655,3,3,90
Built-up  Area,Ready To Move,Vidyaranyapura,2 sq mt,Saata S,1200,2,2,52
Super built-up  Area,Ready To Move,Horamavu Banaswadi,3 sq mt,Saaksa ,1610,3,3,68
Plot  Area,Ready To Move,Ramamurthy Nagar,4 sq km,,2200,4,2,130
Plot  Area,Ready To Move,TC Palaya,3 sq km,,1200,2,0,66
Super built-up  Area,Ready To Move,Mahalakshmi Layout,2 sq mt,,1105,2,1,80
Plot  Area,Ready To Move,Banjara Layout,2 sq km,,753,3,3,59.5
Super built-up  Area,Ready To Move,Whitefield,3 sq mt,Prtates,1655,3,1,108
Built-up  Area,Ready To Move,KR Garden,3 sq km,,1700,3,1,250
Super built-up  Area,Ready To Move,Vishwapriya Layout,2 sq mt,Prodsth,770,2,2,30
Super built-up  Area,18-May,Balagere,2 sq mt,Soresea,1210,2,1,69
Super built-up  Area,Ready To Move,Hormavu,2 sq mt,,965,2,2,37.15
Super built-up  Area,20-Dec,Kanakpura Road,2 sq mt,PrarePa,700,1,1,41
Super built-up  Area,Ready To Move,Whitefield,3 sq mt,Veales ,1740,3,2,95
Built-up  Area,18-Dec,Electronic City Phase II,3 sq mt,Sryalan,1310,2,1,37.84
Super built-up  Area,17-Oct,Sarjapur  Road,3 sq mt,Asuceis,1763.25,3,3,98
Super built-up  Area,Ready To Move,Basaveshwara Nagar,3 sq mt,Suncy R,1900,3,3,150
Plot  Area,Ready To Move,Kammanahalli,6 sq km,,1000,6,3,150
Super built-up  Area,Ready To Move,JP Nagar,3 sq mt,DSillto,1450,2,2,55
Super built-up  Area,Ready To Move,CV Raman Nagar,3 sq mt,Pu270a ,1836,3,2,148
Super built-up  Area,Ready To Move,Hoodi Layout,2 sq mt,SVstos ,1160,2,2,75
Super built-up  Area,Ready To Move,Hennur Road,2 sq mt,AdestAs,1153,2,1,43
Super built-up  Area,Ready To Move,Marathahalli,2 sq mt,SatatHa,1285,2,2,55
Super built-up  Area,Ready To Move,Rest House Road,3 sq mt,,2500,3,2,400
Super built-up  Area,Ready To Move,Haralur Road,2 sq mt,,1194,2,2,47
Super built-up  Area,Ready To Move,Kadubeesanahalli,2 sq mt,Krshi G,1257,2,1,105
Plot  Area,Ready To Move,Whitefield,3 sq km,Anlthmo,1200,3,1,56.72
Carpet  Area,19-Jun,Hormavu,1 sq mt,Kolisl ,527,1,0,28.275
Super built-up  Area,Ready To Move,Tumkur Road,3 sq mt,Sahtsva,1240,2,1,79
Super built-up  Area,Ready To Move,Basapura,3 sq mt,Jaangm ,1294,2,2,52
Super built-up  Area,Ready To Move,Nagondanahalli,2 sq mt,DSldsen,1095,2,1,45
Super built-up  Area,Ready To Move,HSR Layout,2 sq mt,NRosete,1145,2,2,46
Super built-up  Area,Ready To Move,Sarjapur  Road,3 sq mt,Saitya ,1826,3,2,130
Super built-up  Area,18-Jul,Electronics City Phase 1,2 sq mt,Maavera,1314,2,2,60
Super built-up  Area,Ready To Move,Koramangala,3 sq mt,KHage G,1900,2,1,120
Super built-up  Area,18-May,KEB Colony,2 sq mt,,1040,2,2,36.84
Super built-up  Area,Ready To Move,Jakkur,2 sq mt,BrdgeNo,1290,2,1,85
Plot  Area,Ready To Move,Kodigehaali,4 sq km,,1200,4,0,130
Super built-up  Area,Ready To Move,Gollahalli,3 sq mt,SuanaNa,1325,2,1,47
Super built-up  Area,19-Oct,Hebbal,3 sq mt,SNontle,2600,3,2,195
Super built-up  Area,Ready To Move,Hormavu,2 sq mt,,1129,2,1,44
Super built-up  Area,20-Jan,Balagere,1 sq mt,Soresea,645,1,0,42.295
Built-up  Area,Ready To Move,Hebbal,2 sq mt,Diaveic,1075,2,0,52
Super built-up  Area,Ready To Move,Green View Layout,2 sq mt,Makeser,1108,2,1,48
Built-up  Area,Ready To Move,Ananth Nagar,2 sq mt,,810,2,1,25.5
Super built-up  Area,Ready To Move,Gopalkrishna Nagar,2 sq mt,MJarlPe,1155,2,1,65
Super built-up  Area,Ready To Move,Rajaji Nagar,6 sq mt,,3900,6,3,260
Super built-up  Area,Ready To Move,Rajaji Nagar,3 sq mt,,2367,3,3,375
Super built-up  Area,Ready To Move,Sarjapur  Road,3 sq mt,SJityaz,1550,2,2,98
Super built-up  Area,Ready To Move,Babusapalaya,2 sq mt,,1100,2,2,38
Super built-up  Area,Ready To Move,Kanakpura Road,3 sq mt,JRrnauv,1452,3,3,54.2
Super built-up  Area,Ready To Move,Kothanur,2 sq mt,,1141,2,2,54
Super built-up  Area,Ready To Move,HOSUR RMAIN ROAD,3 sq mt,,1464,3,2,56
Super built-up  Area,Ready To Move,Hanumanth Nagar,3 sq mt,Saersel,1500,3,3,67.49
Super built-up  Area,Ready To Move,Anekal,1 sq mt,,456,1,1,15
Plot  Area,Ready To Move,Ramamurthy Nagar,4 sq km,,1200,4,1,125
Super built-up  Area,Ready To Move,Thigalarapalya,4 sq mt,Prtanha,3122,6,2,245
Built-up  Area,Ready To Move,Horamavu Agara,2 sq mt,,760,2,2,37.49
Plot  Area,Ready To Move,Koramangala,6 sq km,,2400,6,0,480
Built-up  Area,Ready To Move,Electronic City,2 sq mt,Mavanru,800,2,2,32
Super built-up  Area,Ready To Move,Choodasandra,2 sq mt,GRlpank,1180,2,1,71.22
Carpet  Area,Ready To Move,Kaggadasapura,2 sq mt,Chisea ,775,2,2,29.5
Super built-up  Area,Ready To Move,Sarjapur  Road,2 sq mt,Usquaya,1145,2,2,49.5
Super built-up  Area,Ready To Move,Konappana Agrahara,2 sq mt,,1060,2,1,42.5
Super built-up  Area,Ready To Move,Cooke Town,4 sq mt,,3900,5,,415
Super built-up  Area,19-Sep,Yelahanka New Town,3 sq mt,,1420,2,1,75
Super built-up  Area,Ready To Move,Bhoganhalli,4 sq mt,Pride S,2439,4,3,190
Plot  Area,Ready To Move,1st Phase JP Nagar,4 sq km,,1200,4,2,300
Super built-up  Area,19-Dec,Hoodi,2 sq mt,Caycend,1111,2,1,49.43
Built-up  Area,Ready To Move,Jeevan bima nagar,2 sq km,,984,2,2,125
Super built-up  Area,Ready To Move,Begur Road,2 sq mt,Dhalsh ,1200,2,2,42
Super built-up  Area,18-Oct,Bannerghatta Road,2 sq mt,DSnjh S,1247,2,1,47.39
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 sq mt,Brnia G,1050,2,1,77.47
Super built-up  Area,Ready To Move,Devanahalli,3 sq mt,,1550,3,1,85
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 sq mt,BriumMi,1270,2,1,80
Super built-up  Area,18-Apr,Balagere,2 sq mt,Soresea,1012,2,1,65
Super built-up  Area,Ready To Move,Electronic City,2 sq mt,Shncy R,970,2,2,34
Super built-up  Area,18-Feb,Thanisandra,2 sq mt,Bhmesy ,933,2,1,55
Plot  Area,18-Aug,Sarjapur,3 sq km,Icaryan,1200,3,2,76.13
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 sq mt,AlEcone,1148,2,2,69
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 sq mt,Vasta C,1463,2,1,61.45
Super built-up  Area,Ready To Move,Jakkur Plantation,3 sq mt,Reicace,1719,3,2,110
Super built-up  Area,19-Dec,Whitefield,2 sq mt,Oreldhi,1350,2,1,88
Built-up  Area,Ready To Move,Kaggadasapura,3 sq mt,FoncyRe,1250,2,2,47
Built-up  Area,Ready To Move,1st Block Jayanagar,8 sq km,,1700,3,2,50
Plot  Area,Ready To Move,Mahalakshmi Layout,9 sq km,,4320,7,2,821
Built-up  Area,Ready To Move,Lakshminarayana Pura,2 sq mt,RothaVa,1200,2,1,75
Built-up  Area,Ready To Move,Whitefield,2 sq mt,Niborik,1030,2,2,44
Super built-up  Area,Ready To Move,Rajasree Layout,3 sq mt,Itbhaa ,1420,3,3,70
Plot  Area,Ready To Move,Ramagondanahalli,5 sq km,Adion A,9600,6,1,1800
Super built-up  Area,19-Jul,Kanakpura Road,3 sq mt,Soazak ,1703,3,2,126
Super built-up  Area,Ready To Move,Old Madras Road,2 sq mt,Brglede,1210,2,1,80
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 sq mt,,1210,2,1,50
Plot  Area,18-Aug,Veer Sandra,4 sq km,Thessie,3000,4,3,264
Super built-up  Area,Ready To Move,Chikkadunnasandra,3 sq mt,Krz 2 Q,1398,3,0,51
Super built-up  Area,Ready To Move,Nagavarapalya,2 sq mt,Goeenes,1335,2,3,110
Super built-up  Area,Ready To Move,Hennur,2 sq mt,Shateor,1255,2,1,52.32
Plot  Area,Ready To Move,Mysore Road,4 sq km,,540,4,2,85
Super built-up  Area,18-Apr,Babusapalaya,3 sq mt,,1213,2,1,36.37
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 sq mt,GrrvaGr,1240,2,2,42.04
Super built-up  Area,Ready To Move,Yelahanka,2 sq mt,NCarkna,1076,2,1,78
Built-up  Area,Ready To Move,3rd Block Hrbr Layout,2 sq mt,Icncy R,1320,2,3,90
Super built-up  Area,19-Mar,Whitefield,2 sq mt,Prtates,1216,2,1,80
Super built-up  Area,Ready To Move,Thanisandra,2 sq mt,MenueNo,1100,2,2,42
Super built-up  Area,19-Mar,Thanisandra,2 sq mt,Bhe 2ko,1183,2,1,77.3
Super built-up  Area,20-Jan,Balagere,1 sq mt,Soresea,656,1,1,38.77
Super built-up  Area,19-Dec,Sarjapur  Road,1 sq mt,Daivon ,534,1,1,19.65
Super built-up  Area,Ready To Move,Shikaripalya,3 sq mt,GKowsea,1285,2,2,45
Super built-up  Area,Ready To Move,Hegde Nagar,3 sq mt,SoisoCa,2087.01,4,2,135
Built-up  Area,18-Dec,"Off Sarjapur Road, ",2 sq mt,,1161,2,1,59
Built-up  Area,Ready To Move,Begur,2 sq mt,Arntyi ,1306,2,3,65
Super built-up  Area,22-May,Jakkur,4 sq mt,SoineC ,2249.81,4,2,245
Built-up  Area,Ready To Move,Tata Nagar,3 sq mt,Karchru,1504,3,2,67
Super built-up  Area,18-May,Balagere,1 sq mt,Soresea,645,1,1,39
Plot  Area,Ready To Move,Esther Enclave Layout,2 sq km,,1230,2,0,68
Built-up  Area,Ready To Move,Hebbal,2 sq mt,,1100,2,2,42
Super built-up  Area,Ready To Move,Yelahanka,1 sq mt,,1000,1,0,14
Super built-up  Area,18-Jun,Sadaramangala,2 sq mt,Maade P,1260,2,1,62
Built-up  Area,Ready To Move,Ambalipura,3 sq mt,,1817,3,3,102
Super built-up  Area,19-Jan,Kodihalli,4 sq mt,Priesla,3626,5,3,785
Super built-up  Area,18-Apr,Basavangudi,2 sq mt,,1180,2,3,124
Built-up  Area,Ready To Move,KR Puram,2 sq mt,Esnamth,1050,2,2,55
Plot  Area,Ready To Move,Whitefield,4 sq km,MIntare,2900,4,3,225
Built-up  Area,Ready To Move,Kasavanhalli,3 sq km,,2110,4,3,120
Built-up  Area,Ready To Move,Mysore Road,1 sq mt,,500,1,1,17.5
Super built-up  Area,Ready To Move,Murugeshpalya,3 sq mt,,1930,3,3,75
Plot  Area,Ready To Move,Harappanahalli,4 sq km,Nioutar,4560,5,,430
Super built-up  Area,Ready To Move,Mahadevpura,3 sq mt,Maourit,1505,3,2,64
Plot  Area,Ready To Move,Jayamahal,4 sq km,,2400,3,1,750
Super built-up  Area,Ready To Move,Ananth Nagar,2 sq mt,,890,2,1,27
Plot  Area,19-Jan,Anekal,2 sq km,,1200,1,1,36
Super built-up  Area,18-Dec,Gunjur Palya,2 sq mt,,849,2,2,25.4
Plot  Area,Ready To Move,Chikka Tirupathi,3 sq km,,1555,3,1,100
Plot  Area,Ready To Move,8th block Koramangala,3 sq km,,600,2,1,85
Carpet  Area,Ready To Move,KR Puram,2 sq mt,Shionya,1057,2,2,30
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 sq mt,Eladero,1680,3,2,122
Built-up  Area,Ready To Move,Samethanahalli,2 sq mt,SPontna,799,2,1,35
Built-up  Area,Ready To Move,Sarjapur  Road,3 sq mt,,1450,2,1,75
Super built-up  Area,18-Dec,Sarjapur  Road,3 sq mt,Klark L,1819,3,2,100
Super built-up  Area,Ready To Move,Kanakpura Road,2 sq mt,,1135,2,1,56.74
Super built-up  Area,Ready To Move,HSR Layout,3 sq mt,PuontFa,2020,3,2,160
Super built-up  Area,Ready To Move,Vinayaka Layout,5 sq mt,V htsji,2700,4,,170
Super built-up  Area,18-Jan,Hosa Road,3 sq mt,Pamesy ,1730,3,2,72.6
Built-up  Area,Ready To Move,Dasarahalli,3 sq mt,Sooneoo,1950,3,2,125
Super built-up  Area,Ready To Move,Thirumalashettyhally,2 sq mt,Srcha S,1077,2,1,34.46
Super built-up  Area,Ready To Move,Brookefield,3 sq mt,Stide B,1706,3,2,115
Built-up  Area,Ready To Move,New Gurappana Palya,5 sq mt,,3000,4,0,300
Super built-up  Area,Ready To Move,Channasandra,2 sq mt,Unm 2El,1093,2,1,37
Super built-up  Area,Ready To Move,Ambalipura,4 sq mt,,2750,4,,142
Super built-up  Area,18-Feb,Whitefield,2 sq mt,BrlisCo,1340,2,1,101
Super built-up  Area,18-Nov,Sarjapur  Road,2 sq mt,AsastDe,984,2,1,59
Super built-up  Area,Ready To Move,AECS Layout,2 sq mt,DSutyng,1135,2,2,68
Plot  Area,18-Dec,Bannerghatta Road,4 sq km,Putere ,2400,4,1,344
Super built-up  Area,Ready To Move,Varthur,2 sq mt,MKllei ,1155,2,2,39
Super built-up  Area,Ready To Move,Kaggalipura,1 sq mt,Baowsig,700,1,0,35
Super built-up  Area,Ready To Move,Horamavu Agara,2 sq mt,Maows M,1150,2,1,42
Super built-up  Area,Ready To Move,Hormavu,3 sq mt,ARureig,1385,2,1,69.25
Super built-up  Area,Ready To Move,Akshaya Nagar,3 sq mt,HiahsLa,2061,4,2,175
Super built-up  Area,Ready To Move,Kathriguppe,3 sq mt,,1335,2,3,73.43
Super built-up  Area,Ready To Move,Bellandur,2 sq mt,Goner C,1015,2,1,60
Built-up  Area,Ready To Move,Banashankari Stage III,6 sq km,,3000,6,2,150
Super built-up  Area,Ready To Move,Electronic City,2 sq mt,Prarkun,1108,2,1,63
Super built-up  Area,Ready To Move,Frazer Town,2 sq mt,,1180,2,1,105
Super built-up  Area,18-Sep,Hennur Road,3 sq mt,Maity W,1445,2,1,83
Super built-up  Area,Ready To Move,Vasanthapura,2 sq mt,,1500,2,2,65
,,,,,,,,
Super built-up  Area,18-Jun,KR Puram,2 sq mt,MCnexva,1085,2,1,46.5
Super built-up  Area,Ready To Move,Rachenahalli,2 sq mt,,1050,2,2,52.08
Plot  Area,Ready To Move,Kadugodi,4 sq km,,2760,4,2,290
Built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 sq mt,,1330,2,1,49
Plot  Area,18-May,Ramagondanahalli,2 sq km,,845,2,1,45.82
Super built-up  Area,18-Mar,Kadugodi,3 sq mt,Alestrb,1762,3,3,112
Super built-up  Area,Ready To Move,Ambalipura,2 sq mt,Dimes E,1303,2,2,80
Super built-up  Area,Ready To Move,Banagiri Nagar,3 sq mt,,1560,2,2,125
Super built-up  Area,19-Jan,Chandapura,3 sq mt,SuVue S,1110,2,2,29.97
Super built-up  Area,18-May,Doddabanahalli,3 sq mt,,1290,3,2,45.33
Super built-up  Area,Ready To Move,Bannerghatta Road,2 sq mt,Loals P,1160,2,0,49.49
Super built-up  Area,18-Mar,9th Phase JP Nagar,3 sq mt,HMigond,1780,3,2,88
Super built-up  Area,Ready To Move,Budigere,3 sq mt,PrityTr,1636,3,2,83
Built-up  Area,18-May,Hennur,4 sq km,Asoilul,2557,,,170
Built-up  Area,Ready To Move,Sector 2 HSR Layout,2 sq mt,DShtsow,1332,2,2,101
Super built-up  Area,Ready To Move,Sadashiva Nagar,5 sq mt,,7500,5,2,1500
Built-up  Area,Ready To Move,Kodbisanhalli,2 sq mt,Seityen,1012,2,2,59
Super built-up  Area,Ready To Move,Kengeri,2 sq mt,Reunee ,1192,2,2,53.5
Super built-up  Area,Ready To Move,Abbigere,2 sq mt,SLtias ,795,2,1,32.54
Super built-up  Area,Ready To Move,Uttarahalli,2 sq mt,,1213,2,2,48
Super built-up  Area,Ready To Move,Sarjapur  Road,3 sq mt,CoLeoen,1489,3,2,88
Super built-up  Area,Ready To Move,Sarjapur,2 sq mt,Ahownve,1200,2,2,62
Super built-up  Area,18-Jul,Electronic City Phase II,2 sq mt,,1140,2,2,28.5
Super built-up  Area,18-Apr,Devanahalli,3 sq mt,Brrds O,1200,2,1,55.08
Super built-up  Area,18-Aug,Ananth Nagar,2 sq mt,,1200,2,1,36
Plot  Area,Ready To Move,Vidyaranyapura,5 sq km,,2640,6,1,225
Super built-up  Area,Ready To Move,Bannerghatta Road,3 sq mt,,1650,3,1,94
Plot  Area,Ready To Move,Bharathnagar,2 sq km,,1245,2,1,120
Super built-up  Area,Ready To Move,Ardendale,2 sq mt,AWharde,1224,2,2,67
Super built-up  Area,18-Aug,Gunjur,2 sq mt,BMineis,1235,2,2,52.76
Super built-up  Area,Ready To Move,Yelenahalli,2 sq mt,,1200,2,2,45.6
Built-up  Area,Ready To Move,Yelahanka,3 sq mt,NCs 2rj,1342,2,2,75
Plot  Area,Ready To Move,9th Phase JP Nagar,3 sq km,,600,3,2,79
Built-up  Area,Ready To Move,TC Palaya,2 sq mt,GilomSh,1800,2,2,80
Plot  Area,Ready To Move,HAL 2nd Stage,4 sq km,,2280,4,2,615
Plot  Area,Ready To Move,Rajaji Nagar,4 sq km,,2440,2,0,415
Super built-up  Area,Ready To Move,Abbigere,2 sq mt,SLtias ,1130,2,1,46.33
Built-up  Area,Ready To Move,Somasundara Palya,2 sq mt,ManceEl,1186,2,3,72
Super built-up  Area,Ready To Move,Hennur,2 sq mt,Shateor,1295,2,1,64
Super built-up  Area,Ready To Move,Kudlu Gate,3 sq mt,Srier P,1535,3,2,85
Super built-up  Area,Ready To Move,Bannerghatta Road,2 sq mt,SNity S,905,2,1,65
Super built-up  Area,18-Jul,Bhoganhalli,2 sq mt,Rosha I,1447,2,1,75.97
Super built-up  Area,Ready To Move,Hormavu,2 sq mt,Nadhian,1165,2,1,40
Super built-up  Area,19-Jul,Kanakpura Road,2 sq mt,Soazak ,1328,2,2,107
Super built-up  Area,Ready To Move,Gandhi Bazar,3 sq mt,,1485,2,3,110
Super built-up  Area,Ready To Move,Uttarahalli,3 sq mt,,1475,2,3,59
Super built-up  Area,Ready To Move,Vidyaranyapura,2 sq mt,AuRISa ,1175,2,2,35
Super built-up  Area,Ready To Move,Thigalarapalya,2 sq mt,Prtanha,1245,2,2,100
Plot  Area,Ready To Move,Vishwanatha Nagenahalli,4 sq km,,720,4,1,95
Super built-up  Area,20-Nov,Rachenahalli,2 sq mt,AsNowre,985,2,1,49.97
Plot  Area,Ready To Move,Koramangala,5 sq km,,4000,5,0,800
Super built-up  Area,Ready To Move,Hoskote,3 sq mt,VRiewke,1395,2,2,63
Super built-up  Area,21-Dec,Hoodi,1 sq mt,GoAirej,706,1,0,42.65
Super built-up  Area,18-Apr,Electronic City,1 sq mt,Prarkun,630,1,1,40.5
Super built-up  Area,Ready To Move,MS Pallya,4 sq mt,,2400,4,1,88
Super built-up  Area,Ready To Move,Gottigere,2 sq mt,,1170,2,2,40
Super built-up  Area,Ready To Move,Marathahalli,4 sq mt,Prionad,2500,5,2,181
Super built-up  Area,Ready To Move,Gubbalala,2 sq mt,,1100,2,2,49.5
Super built-up  Area,18-Mar,Hulimavu,4 sq mt,Vapasrk,3560,5,3,318
Plot  Area,Ready To Move,Margondanahalli,2 sq km,,900,2,0,55
Built-up  Area,18-Dec,Bommasandra Industrial Area,2 sq mt,,1160,2,1,33.51
Super built-up  Area,18-Jan,Varthur,2 sq mt,Muistry,1180,2,2,55
Super built-up  Area,21-Jan,Tumkur Road,3 sq mt,Sapus S,1441,2,1,95
Super built-up  Area,Ready To Move,Channasandra Layout,2 sq mt,Aconyit,1115,2,1,50
Super built-up  Area,Ready To Move,Yeshwanthpur,3 sq mt,Goandn ,1825,3,2,145
Carpet  Area,Ready To Move,Challaghatta,2 sq mt,,1489,2,0,101
Super built-up  Area,Ready To Move,Defence Colony,4 sq mt,,2800,4,3,365
Super built-up  Area,Ready To Move,Subramanyapura,3 sq mt,Prldsri,1278,3,2,62.71
Super built-up  Area,Ready To Move,Subramanyapura,3 sq mt,,1223,2,2,42.81
Super built-up  Area,Ready To Move,Hormavu,2 sq mt,,1065,2,1,50.92
Super built-up  Area,Ready To Move,Whitefield,2 sq mt,Pae 1ov,1190,2,1,64
Super built-up  Area,22-Jun,Koramangala,2 sq mt,,1130,2,2,63
Super built-up  Area,18-Apr,Banashankari,2 sq mt,Bregae ,1430,2,2,87.8
Built-up  Area,Ready To Move,HRBR Layout,4 sq mt,Aples M,1900,3,1,90
Super built-up  Area,Ready To Move,Sarjapur  Road,2 sq mt,DSlesSp,1104,2,1,34.22
Super built-up  Area,Ready To Move,Begur Road,2 sq mt,Dhalsh ,1240,2,2,45.88
Built-up  Area,Ready To Move,Choodasandra,2 sq mt,GRlpank,1140,2,2,62
Super built-up  Area,Ready To Move,Haralur Road,2 sq mt,,1194,2,2,47
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 sq mt,,1464,3,2,56
Super built-up  Area,Ready To Move,Sarjapur,4 sq mt,Prldsum,3508,6,2,425
Super built-up  Area,Ready To Move,KR Puram,3 sq mt,KeureSi,1700,3,3,105
Super built-up  Area,18-Dec,Old Airport Road,4 sq mt,Jaades ,2658,5,3,189
Super built-up  Area,Ready To Move,Canara Bank Colony,3 sq mt,DencyRe,1600,2,1,90
Super built-up  Area,Ready To Move,OMBR Layout,4 sq mt,,3400,4,2,275
Super built-up  Area,18-Apr,Reliaable Tranquil Layout,3 sq mt,Sariana,1508,3,1,75
Built-up  Area,18-Jan,Balagere,1 sq mt,Soresea,645,1,1,41
Super built-up  Area,Ready To Move,Hormavu,2 sq mt,,1046,2,1,60
Plot  Area,Ready To Move,Munnekollal,10 sq km,,1200,8,3,230
Built-up  Area,Ready To Move,5th Block Jayanagar,1 sq km,,1500,1,1,300
Built-up  Area,Ready To Move,Mahalakshmi Puram,6 sq km,,3000,6,3,300
Super built-up  Area,18-May,Hosa Road,2 sq mt,SStusan,1079,2,1,32.37
Super built-up  Area,Ready To Move,Thubarahalli,2 sq mt,Soowsa ,975,2,1,50
Built-up  Area,Ready To Move,ISRO Layout,2 sq mt,Foinade,1050,2,1,51
Plot  Area,Ready To Move,HSR Layout,9 sq km,,1200,9,0,350
Super built-up  Area,Ready To Move,"Jayanagar, ",3 sq mt,,1903,3,2,165
,,,,,,,,
Super built-up  Area,Ready To Move,Asthagrama Layout,2 sq mt,,1200,2,2,38
Super built-up  Area,Ready To Move,Avalahalli,4 sq mt,Sohea A,2996,4,3,200
Built-up  Area,Ready To Move,Manayata Tech Park,4 sq mt,,3400,4,,200
Plot  Area,Ready To Move,Whitefield,4 sq km,PrOakSi,2000,4,1,312
Plot  Area,Ready To Move,Jigani,4 sq km,,1453,4,1,160
Super built-up  Area,Ready To Move,Parappana Agrahara,2 sq mt,,1092,2,2,43
Super built-up  Area,Ready To Move,Hormavu,2 sq mt,SyavuHo,1400,2,0,75
Super built-up  Area,Ready To Move,Bommanahalli,3 sq mt,Rerelve,1416,2,1,85
Built-up  Area,Ready To Move,ITI Layout,3 sq mt,BMityre,1602,2,1,75
Super built-up  Area,Ready To Move,Electronic City,2 sq mt,Music C,1100,2,1,41
Super built-up  Area,Ready To Move,Kothanur,3 sq mt,Somumys,1760,3,,110
Super built-up  Area,Ready To Move,Marathahalli,4 sq mt,PueraRi,3800,4,3,235
Super built-up  Area,Ready To Move,Vasanthapura,2 sq mt,,1037,2,1,36.28
Super built-up  Area,Ready To Move,Yeshwanthpur,3 sq mt,IBityin,1384,2,2,76.18
Super built-up  Area,22-Jan,Vajarahalli,1 sq mt,,551,1,1,30
Plot  Area,Ready To Move,Indira Nagar,4 sq km,,2400,5,,1250
Plot  Area,Ready To Move,7th Phase JP Nagar,1 sq km,,500,1,0,70
Super built-up  Area,18-Apr,Sarjapur,2 sq mt,SNityVe,900,2,2,27.98
Plot  Area,Ready To Move,Anandapura,3 sq km,,1415,2,1,74
Super built-up  Area,18-Mar,Rajarajesheari nagar,2 sq mt,,1400,2,1,44.8
Plot  Area,Ready To Move,Devara Jeevanahalli,7 sq km,,1300,4,1,52
Built-up  Area,Ready To Move,Millers Road,3 sq mt,,2850,4,3,460
Built-up  Area,Ready To Move,Kudlu,2 sq mt,MJinala,1030,2,2,75
Built-up  Area,Ready To Move,Kambipura,2 sq mt,Prrtht ,883,2,1,39
Super built-up  Area,Ready To Move,Celebrity Paradise Layout,1 sq mt,,550,1,1,16
Super built-up  Area,Ready To Move,Anjanapura,4 sq mt,,1800,4,2,55
Plot  Area,Ready To Move,Yemlur,5 sq km,Epllan ,10000,5,,1950
Super built-up  Area,Ready To Move,Old Madras Road,2 sq mt,Brglede,1210,2,1,77
Plot  Area,Ready To Move,Vishveshwarya Layout,4 sq km,,2000,3,0,90
Super built-up  Area,21-Oct,Kanakpura Road,3 sq mt,PrarePa,1100,3,1,58
Super built-up  Area,Ready To Move,Lavakusha Nagar,3 sq mt,,1780,3,1,100
Plot  Area,Ready To Move,2nd Block Hbr Layout,5 sq km,,950,5,2,55
Built-up  Area,Ready To Move,Panathur,2 sq mt,,1050,2,2,60
Super built-up  Area,Ready To Move,Hosur Road,3 sq mt,Collsrn,1370,3,3,38.36
Super built-up  Area,Ready To Move,Marathahalli,4 sq mt,PueraRi,3951,4,3,230
Super built-up  Area,Ready To Move,Bellandur,3 sq mt,BhreeBa,2500,4,2,112
Built-up  Area,Ready To Move,Sri Venkateshpura Layout,2 sq mt,,1050,2,1,49.5
Super built-up  Area,Ready To Move,Anjanapura,3 sq mt,,1843,3,1,87.54
Plot  Area,Ready To Move,3rd Block Banashankari,4 sq km,,1200,4,1,175
Super built-up  Area,Ready To Move,Somasundara Palya,2 sq mt,ManceEl,1186,2,1,76
Super built-up  Area,18-Aug,Haralur Road,1 sq mt,SNnia E,560,1,1,45
Super built-up  Area,Ready To Move,Narayanapura,3 sq mt,AriosHe,2357,3,2,135
Plot  Area,Ready To Move,Mahalakshmi Layout,4 sq km,,1200,3,1,160
